,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,002348,高乐股份,73.7949,62.7875,4126.8187,-460.7659,99.0937,0.9063
1,300223,北京君正,76.4578,72.0846,7053.6527,154.0159,98.601,1.399
2,000831,五矿稀土,68.9655,28.1077,1160.2647,743.8430000000001,98.439,1.561
3,300191,潜能恒信,78.4102,78.4102,6760.9254,-63.9285,97.9164,2.0836
4,002581,未名医药,32.0226,30.205,2537.9844,-876.8382,97.3901,2.6099
5,300399,京天利,33.8559,33.6966,1984.0079999999998,-2237.8156,97.2899,2.7101
6,002495,佳隆股份,17.8111,15.9497,361.6716,-1143.2762,97.2344,2.7656
7,002568,百润股份,30.2889,29.7363,2614.0126,-494.598,97.1946,2.8054
8,300357,我武生物,27.5827,26.8474,1700.1596,-2610.1091,96.6586,3.3414
9,002414,高德红外,26.3411,16.102,674.1334,-3360.337,96.6565,3.3435
10,300042,朗科科技,20.8481,19.6075,1772.6365,-50.4123,96.598,3.4019999999999997
11,300530,达志科技,21.8237,19.5831,1408.6205,-1416.7607,96.5219,3.4781
12,600527,江南高纤,20.136,11.8685,818.6339,-666.5377,96.4879,3.5121
13,000892,欢瑞世纪,28.2106,28.2106,2782.5599,5677.2402,96.4552,3.5448
14,002007,华兰生物,18.747,15.1979,577.4665,-3084.8054,96.4533,3.5467
15,300305,裕兴股份,38.2532,35.7869,2695.3568,-299.483,96.0177,3.9823
16,600382,广东明珠,8.9666,8.8956,695.8379,67381.9015,95.9901,4.0099
17,300333,兆日科技,20.7939,19.7186,1907.5253,-194.5001,95.8918,4.1082
18,002038,双鹭药业,19.7262,18.7567,740.3052,-3781.8399,95.8445,4.1555
19,300074,华平股份,12.422,10.5886,657.1305,-233.2911,95.3875,4.6125
20,002621,三垒股份,17.7933,16.2976,997.7568,-184.0279,95.2128,4.7872
21,000416,民生控股,16.3498,16.3498,1341.2612,-2520.9695,95.0219,4.9781
22,300264,佳创视讯,18.9525,17.9579,1297.509,-80.2476,95.008,4.992
23,002195,二三四五,7.6183,7.6006,175.0842,2003.0068,94.9475,5.0525
24,300086,康芝药业,14.6546,14.0331,1208.0725,-185.3528,94.8926,5.1074
25,300209,天泽信息,15.4096,14.8314,1261.9112,36.8261,94.7934,5.2066
26,300235,方直科技,19.3185,18.9204,939.8762,-759.8801,94.7828,5.2172
27,300165,天瑞仪器,21.8457,18.9551,1741.5092,-65.50399999999999,94.7527,5.2473
28,300077,国民技术,19.3021,18.1476,1423.9786,83.9223,94.7045,5.2955
29,002693,双成药业,27.3919,25.0525,376.5554,-1392.5423,94.7021,5.2979
30,600751,海航科技,18.2259,18.2154,1806.215,513.8478,94.5472,5.4528
31,300107,建新股份,8.4723,7.17,279.8068,-1093.2257,94.5412,5.4588
32,300406,九强生物,19.7138,18.0303,1312.2015,-8327.0964,94.5001,5.4999
33,002107,沃华医药,13.2748,12.4689,1024.7322,-3441.7758,94.4823,5.5177
34,600506,香梨股份,14.0878,5.8214,247.5828,1769.0398,94.448,5.5520000000000005
35,300394,天孚通信,12.0587,10.4913,383.0566,-8683.8397,94.3263,5.6737
36,300508,维宏股份,8.4017,6.1028,457.3794,-3153.1776,94.3136,5.6864
37,603099,长白山,11.2012,11.0729,1087.3983,-3055.5827,94.1953,5.8047
38,000975,银泰资源,5.6204,5.2887,230.8035,-29085.7998,94.1379,5.8621
39,300149,量子生物,9.4671,8.7211,617.2332,-543.6044,93.9819,6.0181
40,300401,花园生物,10.3525,5.2961,167.6919,-2174.8208,93.8796,6.1204
41,300306,远方信息,13.3587,12.7982,1059.0765,-280.2937,93.8792,6.1208
42,002322,理工环科,15.850999999999999,14.9688,1144.4484,-132.0809,93.8627,6.1373
43,603037,凯众股份,11.421,9.157,364.1241,-4973.7223,93.8541,6.1459
44,300359,全通教育,11.8563,11.7638,888.4645,-2044.9503,93.8138,6.1862
45,300365,恒华科技,19.1188,16.4415,978.2393,-5435.4749,93.7696,6.2304
46,603688,石英股份,14.3055,12.102,945.3895,-1467.6214,93.7614,6.2386
47,300309,吉艾科技,11.8414,10.6308,346.2116,-1503.1549,93.7556,6.2444
48,603518,维格娜丝,14.3532,12.017999999999999,1089.4481,-4576.5117,93.6463,6.3537
49,002351,漫步者,12.6545,11.6861,74.1158,-5008.3749,93.4422,6.5578
50,002365,永安药业,9.4301,8.5473,61.8139,-3239.335,93.3327,6.6673
51,601519,大智慧,10.1175,10.1161,211.5486,-306.4485,93.3185,6.6815
52,300194,福安药业,11.3412,9.5099,773.557,-165.4682,93.1948,6.8052
53,300316,晶盛机电,10.4002,8.4844,574.7672,-168.8705,93.1814,6.8186
54,603696,安记食品,7.5301,6.0578,539.8121,-3528.4907,93.1598,6.8402
55,603040,新坐标,7.4502,5.6367,256.3012,-18893.1834,93.0989,6.9011
56,300314,戴维医疗,10.7992,9.8315,953.3372,-601.3038,93.0735,6.9265
57,002502,骅威文化,9.2762,8.1111,526.859,-240.7254,93.0546,6.9454
58,000096,广聚能源,8.4586,8.402999999999999,801.4209,-193.3802,92.9641,7.0359
59,300046,台基股份,12.4287,11.1072,936.4705,-194.3758,92.9176,7.0824
60,002553,南方轴承,10.329,9.164,313.4172,-2418.2898,92.6868,7.3132
61,300346,南大光电,20.0214,18.2599,627.1386,-101.9233,92.6674,7.3326
62,600573,惠泉啤酒,6.5862,4.4697,432.1802,-2073.2294,92.6562,7.3438
63,002695,煌上煌,10.3395,7.6294,681.4542,-443.1478,92.6198,7.3802
64,000503,国新健康,11.0577,11.0525,682.0010000000001,-4566.8229,92.5617,7.4383
65,002558,巨人网络,4.2869,2.1512,160.9452,750.3147,92.5212,7.4788
66,300634,彩讯股份,12.758,12.3684,556.8041,-2821.8381,92.398,7.602
67,002515,金字火腿,5.4567,0.7516,26.598000000000003,348.3967,92.3324,7.6676
68,300377,赢时胜,13.8719,13.8719,909.4213,-13903.8845,92.3015,7.6985
69,002550,千红制药,11.1629,10.2048,101.4878,-240.0399,92.2941,7.7059
70,300170,汉得信息,10.5212,10.5131,624.4203,-808.7026,92.2504,7.7496
71,300371,汇中股份,9.9732,8.3159,622.4245,-1516.7963,92.205,7.795
