,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000757,浩物股份,33.26,26.86,27.2632,31.1662,0.085,116.0195,0.3167
1,002016,世荣兆业,26.95,219.49,42.2308,410.4021,0.8892,186.9723,0.4051
2,600892,大晟文化,26.85,0.6,4.0238,0.7579,0.012,125.9054,1.9945
3,600695,绿庭投资,20.86,152.98,7.9629,76.4866,0.1072,49.9967,0.0701
4,600715,文投控股,20.79,1126.03,0.8947,9.7509,0.0434,0.8659,0.0038
5,000677,恒天海龙,19.61,33.07,1.0141,137.778,0.1594,416.5556,0.4821
6,000848,承德露露,18.86,14.45,41.3659,185.3392,0.4616,1282.3649,3.1942
7,000752,西藏发展,17.68,110.82,32.5539,136.6932,0.5182,123.3443,0.4676
8,600809,山西汾酒,17.45,26.89,76.8947,751.8148,0.8682,2795.1676,3.2282
9,600620,天宸股份,17.2,1477.9,22.1524,148.5754,0.3245,10.0531,0.0219
10,600067,冠城大通,15.96,56.25,17.2002,680.1321,0.5779,1208.9577,1.0273
11,600687,刚泰控股,15.01,44.44,0.5186,57.873000000000005,0.1839,130.2009,0.4138
12,600280,中央商场,14.17,6.61,22.2561,129.3312,0.9009999999999999,1955.0239,13.6198
13,002304,洋河股份,13.81,37.26,60.7759,2356.4886,2.1819,6322.8173,5.8544
14,000413,东旭光电,13.63,32.34,66.2156,61.8824,0.1615,191.2971,0.4994
15,000011,深物业A,13.58,26.96,60.1276,236.3606,0.3965,876.4322,1.4705
16,000921,海信科龙,13.32,4.37,19.8633,231.8818,0.1712,5304.9275,3.9178
17,600086,东方金钰,12.46,3.29,6.1189,104.7682,0.2973,3176.006,9.0155
18,600658,电子城,11.18,34.24,67.2801,290.0356,0.4999,846.8505,1.4598
19,600336,澳柯玛,11.17,10.33,22.9845,96.3443,0.2825,932.0085,2.7328
20,000540,中天金融,10.9,20.93,45.1118,289.4907,0.2263,1382.6539,1.0812
21,000049,德赛电池,10.57,3.69,11.8657,43.6606,0.319,1182.6831,8.6435
22,000568,泸州老窖,10.53,37.04,61.0432,1142.7526,0.8172,3084.8908,2.2062
23,000858,五粮液,10.42,41.8,76.5663,3626.8663,0.9554,8675.7999,2.2855
24,000403,ST生化,10.27,20.92,57.7649,25.2412,0.0926,120.6395,0.4425
25,600167,联美控股,10.21,34.33,48.3918,86.8822,0.4117,253.0559,1.1993
26,600340,华夏幸福,9.79,38.59,80.4046,470.6693,0.5336,1219.3517,1.3826
27,600199,金种子酒,9.62,28.65,66.45100000000001,235.3631,0.4234,821.4463,1.4780000000000002
28,600090,同济堂,9.57,16.13,35.749,45.9801,0.1249,285.0431,0.7747
29,600519,贵州茅台,9.51,50.14,93.2859,3593.0981,3.4609,7165.7859,6.9022
30,600201,生物股份,9.48,70.34,64.0779,111.5377,0.3971,158.5494,0.5646
31,600729,重庆百货,9.01,3.41,14.4781,301.6888,0.8086,8828.2612,23.6623
32,000672,上峰水泥,8.82,146.88,11.6831,2.544,0.0118,1.7319,0.008
33,000869,张裕A,8.8,30.86,72.0075,570.638,0.8324,1848.5641,2.6968
34,000966,长源电力,8.67,6.91,19.4327,130.6171,0.2357,1888.8410000000001,3.4085
35,000836,鑫茂科技,8.62,43.31,12.4975,71.1559,0.2432,164.2591,0.5615
36,000899,赣能股份,8.49,18.19,28.7386,123.1446,0.1904,676.8171,1.0466
37,600694,大商股份,8.42,4.32,21.2426,407.4779,1.3873,9413.3238,32.0487
38,002646,青青稞酒,8.37,28.11,64.8471,162.7493,0.3616,578.8477,1.2863
39,000596,古井贡酒,8.35,19.65,69.1482,307.6161,0.6108,1565.2774,3.1081
40,000423,东阿阿胶,8.27,39.59,65.1172,383.1776,0.5858,967.7429,1.4796
41,600309,万华化学,8.19,15.53,34.8518,741.7891,0.34299999999999997,4776.3385,2.2088
42,601888,中国国旅,8.13,12.59,28.9217,495.8726,0.5634,3938.2338,4.4752
43,601633,长城汽车,8.1,14.86,28.1167,1896.3412,0.6232,12755.0343,4.1923
44,002277,友阿股份,7.96,10.44,18.3559,195.72299999999998,0.3503,1873.945,3.3539
45,600816,安信信托,7.69,,,52.5571,0.1157,0.0,0.0
46,000690,宝新能源,7.63,22.32,37.2315,290.2376,0.168,1300.1018,0.7529
47,000998,隆平高科,7.6,14.38,33.9341,100.5091,0.2417,698.7122,1.6804
48,002219,恒康医疗,7.59,30.16,69.5614,50.2321,0.114,166.5227,0.37799999999999995
49,600285,羚锐制药,7.48,38.78,56.5093,66.818,0.2917,172.2859,0.7521
50,000028,国药一致,7.48,2.95,8.9708,143.6545,0.4985,4868.8224,16.8968
51,000963,华东医药,7.4,4.01,21.3334,159.7983,0.3681,3984.2596,9.179
52,601515,东风股份,7.38,37.25,51.4997,179.8974,0.3235,482.9047,0.8685
53,002294,信立泰,7.19,38.24,77.7914,201.9225,0.4632,527.9053,1.2112
54,600612,老凤祥,7.16,2.34,7.5407,212.9136,0.40700000000000003,9090.2052,17.3769
55,000156,华数传媒,7.04,15.94,44.4162,63.7943,0.0581,400.1474,0.3647
56,600547,山东黄金,7.01,4.29,9.5001,573.893,0.4032,13346.6253,9.3787
57,000661,长春高新,6.99,14.28,80.5385,69.8473,0.5318,488.8652,3.7225
58,600684,珠江实业,6.94,20.5,48.0176,107.9789,0.3416,526.5846,1.6658
59,000584,哈工智能,6.82,15.08,31.4753,121.4587,0.297,804.9926,1.9687
60,300005,探路者,6.8,21.55,50.1622,59.0758,0.1675,274.1157,0.7772
61,000603,盛达矿业,6.75,35.16,85.3497,49.4493,0.0979,140.6408,0.2785
62,000732,泰禾集团,6.73,15.11,41.3625,164.282,0.1615,1086.5587,1.0682
63,600396,金山股份,6.71,7.42,27.0995,81.9588,0.2406,1104.1152,3.2416
64,000333,美的集团,6.68,3.23,23.1595,1021.5354,1.0215,31565.9234,31.5659
65,002128,露天煤业,6.61,23.48,41.6264,401.3582,0.3025,1709.1614,1.2882
66,600436,片仔癀,6.58,31.54,56.1998,106.6307,0.7616,338.0038,2.4143
67,601818,光大银行,6.5,47.45,62.6087,7964.0,0.1969,16782.0,0.415
68,600251,冠农股份,6.48,36.69,10.7907,81.36,0.2246,221.7036,0.6122
69,001896,豫能控股,6.48,5.19,15.0985,43.1315,0.0691,829.9843,1.3314
70,002081,金螳螂,6.44,9.25,16.596,285.8922,0.3653,3088.8906,3.9472
71,600182,S佳通,6.43,5.11,23.538,54.0126,0.1588,1056.7259,3.108
72,000887,中鼎股份,6.39,14.13,30.5,129.9752,0.2181,919.5047,1.5433
73,600031,三一重工,6.37,14.0,33.7057,1572.3729999999998,0.2064,11229.918,1.4744
74,002344,海宁皮城,6.36,33.22,67.0257,197.8237,0.3532,595.3943,1.0632
75,600983,惠而浦,6.35,8.47,33.9056,107.6163,0.2019,1269.5133,2.3827
76,300027,华谊兄弟,6.3,30.29,68.1908,160.6225,0.2655,530.2384,0.8767
77,600800,天津磁卡,6.27,11.25,42.4776,4.5566,0.0074,40.4936,0.0662
78,600180,瑞茂通,6.27,7.41,15.1646,84.2474,0.0965,1135.614,1.3019
79,002236,大华股份,6.24,18.09,42.2528,142.6731,0.2556,788.4672,1.4127
80,000501,鄂武商A,6.2,3.53,19.8202,160.9095,0.3172,4546.0933,8.9622
81,600016,民生银行,6.19,38.14,52.3081,11015.0,0.3883,28877.0,1.018
82,600785,新华百货,6.17,4.93,18.9809,92.6059,0.4464,1877.0599,9.049
83,002191,劲嘉股份,6.16,24.58,42.821999999999996,155.4401,0.2421,632.3152,0.9849
84,300146,汤臣倍健,6.15,32.36,64.464,117.8661,0.5388,364.23199999999997,1.6652
85,600507,方大特钢,6.14,4.42,12.9747,134.6186,0.1035,3044.4747,2.3409
86,000979,中弘股份,6.12,31.6,69.7749,181.5749,0.1794,574.4561,0.5675
87,300228,富瑞特装,6.11,11.25,37.3127,48.7535,0.3638,433.212,3.2329
88,600690,青岛海尔,6.1,3.5,24.338,721.2175,0.2675,20548.492,7.622000000000001
89,600256,广汇能源,6.08,35.01,43.7371,525.9781,0.15,1501.987,0.4286
90,600036,招商银行,6.07,42.2,55.3535,13021.0,0.6034,30849.0,1.4297
91,600195,中牧股份,6.07,17.3,39.1858,125.2754,0.3212,723.7206,1.8556
92,600276,恒瑞医药,6.06,22.71,84.0198,336.651,0.2722,1481.8528,1.1983
93,601166,兴业银行,6.05,43.74,57.8777,10977.0,0.8642,25096.0,1.9758
94,000895,双汇发展,6.03,7.8,19.2407,758.1926,0.6890000000000001,9708.1518,8.8232
95,000999,华润三九,6.03,18.46,61.3738,338.1736,0.3454,1831.4914,1.8709
96,002022,科华生物,6.0,24.4,43.9985,65.2628,0.1325,267.3759,0.5431
97,002038,双鹭药业,5.99,55.85,69.6671,129.032,0.3389,231.0135,0.6068
98,601939,建设银行,5.94,47.44,61.3979,59580.0,0.2383,125584.0,0.5023
99,002267,陕天然气,5.92,14.32,21.844,189.5273,0.1863,1322.8053,1.3009
100,002656,摩登大道,5.92,32.33,67.0353,71.2357,0.7123,220.30700000000002,2.2030000000000003
101,601288,农业银行,5.88,39.39,51.0261,47011.0,0.1447,119331.0,0.3674
102,601933,永辉超市,5.87,3.62,19.3925,275.9127,0.3593,7609.0646,9.9089
103,600161,天坛生物,5.82,24.71,57.7202,96.1861,0.1866,389.2488,0.7551
104,000550,江铃汽车,5.82,10.19,25.8099,499.8793,0.579,4900.8749,5.6774
105,601398,工商银行,5.75,46.52,59.7151,68743.0,0.1966,147760.0,0.4226
106,300567,精测电子,5.75,24.67,58.5354,4.8811,,19.7855,
107,300498,温氏股份,5.7,9.1,14.4881,829.2839,0.2599,9105.4141,2.8543
108,600779,水井坊,5.69,35.25,80.0673,114.0544,0.2334,323.5325,0.6622
109,600616,金枫酒业,5.69,23.08,58.2301,75.3825,0.1718,326.5966,0.7445
110,000975,银泰资源,5.66,2542.12,94.2441,196.4171,0.1809,7.7265,0.0071
111,000411,英特集团,5.62,1.0,5.9270000000000005,27.9053,0.1345,2763.3455,13.3205
112,600766,园城黄金,5.6,27.79,27.2587,1.8785,0.0083,6.7594,0.0301
113,600197,伊力特,5.58,15.17,43.2337,76.8223,0.1742,506.3563,1.1482
114,002223,鱼跃医疗,5.55,21.15,38.6704,76.5649,0.14400000000000002,361.9842,0.6809
115,000042,中洲控股,5.54,56.51,51.302,163.0494,0.6808,288.5071,1.2048
116,000915,山大华特,5.53,16.05,71.2561,37.1245,0.2059,231.2511,1.2829
117,600805,悦达投资,5.48,52.2,24.9888,234.3276,0.3304,448.8213,0.6329
118,002327,富安娜,5.47,20.0,52.0985,87.8603,0.5468,439.1283,2.7329
119,002142,宁波银行,5.43,43.22,53.7452,1269.5330000000001,0.4402,2937.2070000000003,1.0185
120,002142,宁波银行,5.43,43.22,53.7452,1269.5330000000001,0.4402,2937.2070000000003,1.0185
121,600512,腾达建设,5.43,14.05,10.9387,60.318999999999996,0.0818,429.2918,0.5825
122,601169,北京银行,5.42,51.9,65.9918,4129.2970000000005,0.4692,7955.96,0.904
123,000716,黑芝麻,5.41,9.69,40.6006,19.7769,0.1109,204.0526,1.1446
124,000417,合肥百货,5.4,5.15,19.0332,152.1203,0.195,2951.4649,3.7844
125,300104,乐视网,5.39,20.8,45.3187,71.1192,0.1701,341.8864,0.8179
126,002210,飞马国际,5.37,0.6,1.2667,33.6361,0.0845,5579.1153,14.0249
